explainer,category,metric,corruption,severity,q_clean_mean,q_shifted_mean,delta_q_signed_mean,delta_q_signed_sd,delta_q_abs_mean,delta_q_abs_sd,delta_e_mean,delta_e_sd,n_seeds,slice
GradCAM,complexity,sparseness,brightness,1,0.36318928791770344,0.36359559612903525,0.00040630821133184056,0.0015322773220539172,0.0012259921063320855,0.0008218338876802259,0.07018682956695559,0.006744576300165127,5,both_corr
GradCAM,complexity,sparseness,brightness,2,0.36318928791770344,0.36228277386502117,-0.0009065140526822613,0.0014567680553536442,0.0015026535614921176,0.0005717719557705482,0.1362849712371826,0.0073347167104023435,5,both_corr
GradCAM,complexity,sparseness,brightness,3,0.36318928791770344,0.3616002545417889,-0.0015890333759145392,0.002148961891322717,0.002136320354717158,0.0014385722870598817,0.1966124176979065,0.012170399078419233,5,both_corr
GradCAM,complexity,sparseness,brightness,5,0.36318928791770344,0.3628883032674368,-0.0003009846502666336,0.004512847139892358,0.003550428876720002,0.0021730387702122854,0.3521080255508423,0.0109881237590226,5,both_corr
GradCAM,complexity,sparseness,fog,1,0.36318928791770344,0.36230365883066284,-0.0008856290870406069,0.0020380962257793805,0.0018516202784091607,0.0009212153689727539,0.1386196255683899,0.006686311494502327,5,both_corr
GradCAM,complexity,sparseness,fog,2,0.36318928791770344,0.3627216299670737,-0.000467657950629774,0.004536840181174889,0.004010334373914071,0.0008676528912883863,0.27987195253372193,0.013910829212423072,5,both_corr
GradCAM,complexity,sparseness,fog,3,0.36318928791770344,0.3629320933195224,-0.000257194598181032,0.005180000930682541,0.004464124602903352,0.0014158338111268948,0.38816155195236207,0.02636309471821135,5,both_corr
GradCAM,complexity,sparseness,fog,5,0.36318928791770344,0.36300734286195013,-0.00018194505575330755,0.0029709926589759398,0.002414110683249748,0.001258278345639215,0.5922348201274872,0.01375803157437306,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,1,0.36318928791770344,0.36335720629342483,0.00016791837572136537,0.0020140009205518116,0.001771993370571523,0.0004080377463273327,0.3685094952583313,0.011988581206128963,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,2,0.36318928791770344,0.36607945095441363,0.002890163036710203,0.0016216757942775068,0.002890163036710203,0.0016216757942775068,0.5049838185310364,0.015230352441559401,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,3,0.36318928791770344,0.3646536528028711,0.0014643648851676238,0.0026748696665123382,0.001930664892366496,0.0022750933432932256,0.5878905355930328,0.013436321019910383,5,both_corr
GradCAM,complexity,sparseness,gaussian_noise,5,0.36318928791770344,0.3676315945652767,0.00444230664757328,0.0038526588846030546,0.004444960565628686,0.003848830716264413,0.6181461095809937,0.03820066241005979,5,both_corr
GradCAM,faithfulness,corr,brightness,1,0.00816099852516052,0.006795736952998099,-0.0013652615721624194,0.007800220019007459,0.00625708436869354,0.0037728603604251874,0.07018682956695559,0.006744576300165127,5,both_corr
GradCAM,faithfulness,corr,brightness,2,0.00816099852516052,0.01443017725553184,0.006269178730371321,0.006362872141783201,0.00700529097285744,0.005317120208943796,0.1362849712371826,0.0073347167104023435,5,both_corr
GradCAM,faithfulness,corr,brightness,3,0.00816099852516052,0.011690453688727901,0.0035294551635673805,0.008849033601167192,0.007064707774466781,0.005611514317977128,0.1966124176979065,0.012170399078419233,5,both_corr
GradCAM,faithfulness,corr,brightness,5,0.00816099852516052,0.01816725485847722,0.0100062563333167,0.009324603255547492,0.0100062563333167,0.009324603255547492,0.3521080255508423,0.0109881237590226,5,both_corr
GradCAM,faithfulness,corr,fog,1,0.00816099852516052,0.010637673864206939,0.0024766753390464196,0.01372022401094419,0.00832816846121818,0.010450548331607001,0.1386196255683899,0.006686311494502327,5,both_corr
GradCAM,faithfulness,corr,fog,2,0.00816099852516052,0.01708636026724674,0.008925361742086222,0.0035255735058090537,0.008925361742086222,0.0035255735058090537,0.27987195253372193,0.013910829212423072,5,both_corr
GradCAM,faithfulness,corr,fog,3,0.00816099852516052,0.009960859381816501,0.0017998608566559804,0.005170787577534174,0.00280687984629494,0.004575827789779009,0.38816155195236207,0.02636309471821135,5,both_corr
GradCAM,faithfulness,corr,fog,5,0.00816099852516052,0.01818045117289364,0.010019452647733119,0.008528976098363103,0.010019452647733119,0.008528976098363103,0.5922348201274872,0.01375803157437306,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,1,0.00816099852516052,0.012267181752003021,0.004106183226842501,0.00817903562305019,0.006246309006708579,0.0062611563891597916,0.3685094952583313,0.011988581206128963,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,2,0.00816099852516052,0.01389606901789516,0.0057350704927346405,0.011304796259451749,0.00760106725531232,0.009833205537299737,0.5049838185310364,0.015230352441559401,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,3,0.00816099852516052,0.01803472213210854,0.00987372360694802,0.01308764299185272,0.01233524014390786,0.010146513423602704,0.5878905355930328,0.013436321019910383,5,both_corr
GradCAM,faithfulness,corr,gaussian_noise,5,0.00816099852516052,0.01958392120870598,0.011422922683545462,0.017324706913791912,0.01450237573720858,0.014154532680828464,0.6181461095809937,0.03820066241005979,5,both_corr
IG,complexity,sparseness,brightness,1,0.6035112058992702,0.6016059544786787,-0.0019052514205914139,0.0007136587898688129,0.0019052514205914139,0.0007136587898688129,0.35603837966918944,0.0030432984653129777,5,both_corr
IG,complexity,sparseness,brightness,2,0.6035112058992702,0.5998795972958249,-0.0036316086034453576,0.0012635851411370571,0.0036316086034453576,0.0012635851411370571,0.5588148951530456,0.0024064094726581465,5,both_corr
IG,complexity,sparseness,brightness,3,0.6035112058992702,0.5988621701081674,-0.004649035791102651,0.001662149722138193,0.004649035791102651,0.001662149722138193,0.6960176169872284,0.0027169715875886846,5,both_corr
IG,complexity,sparseness,brightness,5,0.6035112058992702,0.593871571428069,-0.009639634471201197,0.002207579833534096,0.009639634471201197,0.002207579833534096,0.882535508275032,0.0011621478293005543,5,both_corr
IG,complexity,sparseness,fog,1,0.6035112058992702,0.6064037895576433,0.0028925836583731934,0.00026795066420477824,0.0028925836583731934,0.00026795066420477824,0.3085542440414429,0.003859672903486071,5,both_corr
IG,complexity,sparseness,fog,2,0.6035112058992702,0.6130487848017274,0.009537578902457189,0.0004440021284816081,0.009537578902457189,0.0004440021284816081,0.5100527465343475,0.004377283191136314,5,both_corr
IG,complexity,sparseness,fog,3,0.6035112058992702,0.6188356937990366,0.015324487899766436,0.001272037058545805,0.015324487899766436,0.001272037058545805,0.6248136818408966,0.007154527789686291,5,both_corr
